symbol,count,probability
кл,630,0.0003546005
иш,623,0.0003506605
рж,623,0.0003506605
лж,608,0.0003422177
сы,602,0.0003388405
юд,591,0.0003326491
␠ц,580,0.0003264576
ща,578,0.0003253319
пя,574,0.0003230805
зи,561,0.0003157633
иж,557,0.0003135119
шу,555,0.0003123862
цо,552,0.0003106976
ею,552,0.0003106976
ьм,546,0.0003073205
сд,545,0.0003067576
оф,543,0.0003056319
дс,540,0.0003039433
ию,534,0.0003005662
шо,529,0.0002977519
зе,518,0.0002915605
рг,506,0.0002848062
ыр,503,0.0002831176
шь,502,0.0002825547
вп,501,0.0002819919
ц␠,498,0.0002803033
бн,498,0.0002803033
ец,495,0.0002786147
б␠,495,0.0002786147
дт,494,0.0002780519
тл,491,0.0002763633
рв,483,0.0002718604
ын,472,0.0002656690
чк,463,0.0002606033
кв,456,0.0002566633
ун,453,0.0002549747
зу,449,0.0002527232
рк,441,0.0002482204
вд,440,0.0002476575
зм,439,0.0002470947
лн,434,0.0002442804
йт,424,0.0002386518
рс,420,0.0002364004
яв,417,0.0002347118
лд,414,0.0002330232
гн,412,0.0002318975
мп,408,0.0002296461
бк,402,0.0002262689
ср,399,0.0002245803
ч␠,392,0.0002206403
рм,390,0.0002195146
ж␠,389,0.0002189518
рш,388,0.0002183889
пы,386,0.0002172632
ущ,383,0.0002155746
дк,379,0.0002133232
ци,374,0.0002105089
нк,369,0.0002076946
ащ,362,0.0002037546
ящ,361,0.0002031917
чь,353,0.0001986889
ыч,351,0.0001975632
зл,350,0.0001970003
нч,349,0.0001964374
вя,349,0.0001964374
вт,339,0.0001908089
ык,339,0.0001908089
лч,331,0.0001863060
дъ,331,0.0001863060
ип,327,0.0001840546
зр,327,0.0001840546
ф␠,314,0.0001767374
ио,311,0.0001750488
бщ,309,0.0001739231
тч,308,0.0001733603
лп,307,0.0001727974
яг,301,0.0001694203
уе,293,0.0001649174
жу,291,0.0001637917
хи,289,0.0001626660
ъе,284,0.0001598517
ях,283,0.0001592888
оо,283,0.0001592888
яя,283,0.0001592888
сх,278,0.0001564745
йд,271,0.0001525345
ню,266,0.0001497202
фа,263,0.0001480317
дц,263,0.0001480317
фе,260,0.0001463431
зб,260,0.0001463431
рю,259,0.0001457802
вь,259,0.0001457802
тд,257,0.0001446545
яч,254,0.0001429659
цк,252,0.0001418402
еи,246,0.0001384631
рб,246,0.0001384631
зж,244,0.0001373374
ощ,237,0.0001333973
зк,234,0.0001317088
зс,232,0.0001305831
нг,229,0.0001288945
вк,228,0.0001283316
тц,228,0.0001283316
цы,226,0.0001272059
ху,225,0.0001266431
хв,221,0.0001243916
аи,219,0.0001232659
ыд,218,0.0001227030
нщ,218,0.0001227030
чш,216,0.0001215773
ып,216,0.0001215773
ьз,215,0.0001210145
як,214,0.0001204516
шт,213,0.0001198888
вм,209,0.0001176373
сю,208,0.0001170745
хн,206,0.0001159488
лг,204,0.0001148230
рх,199,0.0001120087
ищ,197,0.0001108830
ыг,196,0.0001103202
дш,195,0.0001097573
ау,195,0.0001097573
ъю,194,0.0001091945
мс,190,0.0001069430
юс,186,0.0001046916
