symbol,count,probability
рл,147,0.0000989852
кэ,140,0.0000942717
вх,140,0.0000942717
бв,139,0.0000935983
дб,138,0.0000929249
рц,136,0.0000915782
тж,134,0.0000902314
зт,134,0.0000902314
жб,134,0.0000902314
фл,133,0.0000895581
юе,131,0.0000882113
жо,131,0.0000882113
щу,129,0.0000868646
мэ,127,0.0000855179
дд,126,0.0000848445
уй,124,0.0000834977
пк,124,0.0000834977
мх,124,0.0000834977
фо,124,0.0000834977
рз,123,0.0000828244
юж,121,0.0000814776
юу,120,0.0000808043
йя,118,0.0000794575
хч,118,0.0000794575
бх,114,0.0000767641
йэ,114,0.0000767641
тю,113,0.0000760907
хз,113,0.0000760907
кя,112,0.0000754173
йц,109,0.0000733972
йх,108,0.0000727238
жч,108,0.0000727238
дч,107,0.0000720505
ыэ,104,0.0000700304
сэ,104,0.0000700304
пн,103,0.0000693570
нж,102,0.0000686836
мш,99,0.0000666635
йф,99,0.0000666635
ыж,99,0.0000666635
еф,99,0.0000666635
нх,99,0.0000666635
яц,97,0.0000653168
дю,97,0.0000653168
дх,93,0.0000626233
нл,93,0.0000626233
пп,92,0.0000619499
ыя,92,0.0000619499
дг,90,0.0000606032
яш,90,0.0000606032
рщ,89,0.0000599298
вж,89,0.0000599298
лш,89,0.0000599298
рр,87,0.0000585831
ыа,85,0.0000572364
эс,85,0.0000572364
бь,84,0.0000565630
яф,83,0.0000558896
нш,83,0.0000558896
гз,83,0.0000558896
шп,82,0.0000552163
цв,79,0.0000531961
мф,79,0.0000531961
тх,79,0.0000531961
эк,76,0.0000511760
нэ,75,0.0000505027
бм,74,0.0000498293
кх,74,0.0000498293
уф,72,0.0000484826
пт,71,0.0000478092
чл,71,0.0000478092
щн,70,0.0000471358
юэ,70,0.0000471358
юц,69,0.0000464625
мю,69,0.0000464625
гч,68,0.0000457891
лх,67,0.0000451157
цп,67,0.0000451157
дз,66,0.0000444423
мц,66,0.0000444423
вц,66,0.0000444423
юю,65,0.0000437690
пч,65,0.0000437690
бэ,65,0.0000437690
хж,64,0.0000430956
зч,64,0.0000430956
жь,63,0.0000424222
тъ,63,0.0000424222
эн,60,0.0000404021
сц,60,0.0000404021
рф,59,0.0000397288
хэ,59,0.0000397288
юя,58,0.0000390554
сф,58,0.0000390554
яй,57,0.0000383820
мь,56,0.0000377087
гб,56,0.0000377087
жю,56,0.0000377087
цн,55,0.0000370353
зэ,54,0.0000363619
чр,53,0.0000356886
ьф,51,0.0000343418
цс,50,0.0000336684
тф,50,0.0000336684
чп,50,0.0000336684
бч,49,0.0000329951
бд,48,0.0000323217
юф,48,0.0000323217
эр,48,0.0000323217
хш,47,0.0000316483
пф,47,0.0000316483
вф,46,0.0000309750
юх,45,0.0000303016
чс,45,0.0000303016
жс,43,0.0000289549
чв,43,0.0000289549
шв,42,0.0000282815
хя,42,0.0000282815
гт,42,0.0000282815
лф,41,0.0000276081
гм,40,0.0000269348
фс,40,0.0000269348
зш,39,0.0000262614
нф,39,0.0000262614
щь,38,0.0000255880
тщ,38,0.0000255880
шм,37,0.0000249147
кц,37,0.0000249147
кш,36,0.0000242413
жг,35,0.0000235679
фв,35,0.0000235679
хх,35,0.0000235679
уц,35,0.0000235679
жп,33,0.0000222212
фп,33,0.0000222212
кф,32,0.0000215478
жт,32,0.0000215478
съ,32,0.0000215478
жв,31,0.0000208744
жм,31,0.0000208744
цг,31,0.0000208744
фт,31,0.0000208744
дэ,30,0.0000202011
ыф,30,0.0000202011
рэ,29,0.0000195277
хф,27,0.0000181810
жэ,27,0.0000181810
гг,26,0.0000175076
эп,26,0.0000175076
фн,25,0.0000168342
цт,25,0.0000168342
дж,25,0.0000168342
тш,24,0.0000161609
жж,24,0.0000161609
дф,24,0.0000161609
зъ,23,0.0000154875
фы,23,0.0000154875
ыц,23,0.0000154875
фк,23,0.0000154875
въ,23,0.0000154875
цд,23,0.0000154875
пс,22,0.0000148141
пц,21,0.0000141407
бг,21,0.0000141407
бп,21,0.0000141407
цм,20,0.0000134674
гэ,19,0.0000127940
чд,18,0.0000121206
чб,18,0.0000121206
шб,17,0.0000114473
фз,17,0.0000114473
зц,17,0.0000114473
чм,17,0.0000114473
кю,16,0.0000107739
бб,16,0.0000107739
жя,16,0.0000107739
бт,15,0.0000101005
пш,15,0.0000101005
мщ,14,0.0000094272
лц,14,0.0000094272
чч,14,0.0000094272
эм,13,0.0000087538
цз,13,0.0000087538
гя,13,0.0000087538
цч,13,0.0000087538
ьщ,13,0.0000087538
хц,12,0.0000080804
цб,12,0.0000080804
шд,12,0.0000080804
эй,12,0.0000080804
бц,12,0.0000080804
жл,11,0.0000074071
жз,11,0.0000074071
вщ,11,0.0000074071
фь,11,0.0000074071
лщ,11,0.0000074071
йщ,11,0.0000074071
эг,10,0.0000067337
ыщ,10,0.0000067337
шс,10,0.0000067337
гх,10,0.0000067337
бю,10,0.0000067337
эз,9,0.0000060603
чг,9,0.0000060603
йю,9,0.0000060603
бш,9,0.0000060603
эв,9,0.0000060603
чз,9,0.0000060603
зф,9,0.0000060603
гш,9,0.0000060603
шр,9,0.0000060603
цр,9,0.0000060603
цл,8,0.0000053870
фм,8,0.0000053870
фд,8,0.0000053870
гж,8,0.0000053870
фю,8,0.0000053870
бж,7,0.0000047136
зх,7,0.0000047136
сё,7,0.0000047136
фф,7,0.0000047136
эд,7,0.0000047136
цэ,7,0.0000047136
вю,7,0.0000047136
жр,7,0.0000047136
ця,6,0.0000040402
фб,6,0.0000040402
фг,6,0.0000040402
шг,6,0.0000040402
эх,6,0.0000040402
шч,5,0.0000033668
щр,5,0.0000033668
чэ,5,0.0000033668
жх,5,0.0000033668
гф,5,0.0000033668
шш,5,0.0000033668
пщ,5,0.0000033668
ёв,4,0.0000026935
бз,4,0.0000026935
пэ,4,0.0000026935
чя,4,0.0000026935
кщ,4,0.0000026935
хщ,4,0.0000026935
шц,4,0.0000026935
чх,4,0.0000026935
кь,4,0.0000026935
шэ,4,0.0000026935
фч,4,0.0000026935
шз,4,0.0000026935
що,4,0.0000026935
пб,3,0.0000020201
хъ,3,0.0000020201
шф,3,0.0000020201
пм,3,0.0000020201
фя,3,0.0000020201
пв,3,0.0000020201
пд,3,0.0000020201
ёб,2,0.0000013467
нё,2,0.0000013467
эи,2,0.0000013467
цх,2,0.0000013467
ъс,2,0.0000013467
йй,2,0.0000013467
щд,2,0.0000013467
щс,2,0.0000013467
ыю,2,0.0000013467
эф,2,0.0000013467
цц,2,0.0000013467
фш,2,0.0000013467
шж,2,0.0000013467
хю,2,0.0000013467
зщ,2,0.0000013467
фж,2,0.0000013467
пх,2,0.0000013467
лъ,1,0.0000006734
ъп,1,0.0000006734
ёп,1,0.0000006734
ёу,1,0.0000006734
жц,1,0.0000006734
ээ,1,0.0000006734
ръ,1,0.0000006734
иъ,1,0.0000006734
ъв,1,0.0000006734
оь,1,0.0000006734
ёо,1,0.0000006734
кё,1,0.0000006734
ёр,1,0.0000006734
щз,1,0.0000006734
сй,1,0.0000006734
пг,1,0.0000006734
эц,1,0.0000006734
эш,1,0.0000006734
щт,1,0.0000006734
сщ,1,0.0000006734
тй,1,0.0000006734
вй,1,0.0000006734
цф,1,0.0000006734
эб,1,0.0000006734
цш,1,0.0000006734
ьй,1,0.0000006734
фэ,1,0.0000006734
дй,1,0.0000006734
щм,1,0.0000006734
пж,1,0.0000006734
фх,1,0.0000006734
щк,1,0.0000006734
цж,1,0.0000006734
шх,1,0.0000006734
щп,1,0.0000006734
гц,1,0.0000006734
чф,1,0.0000006734
шя,1,0.0000006734
щя,1,0.0000006734
